time,x,y,v,w,traffic,enc_r,enc_l,laser
123.27173018455505,0.0005265441603215492,0.28022735881748984,0.276463444709312,0.015528406016997565,UNKNOWN,5.944042205810547,5.593884468078613,5.0
123.29593706130981,0.00047575982322024113,0.2761601091232569,0.266463444709312,0.017218393765569218,UNKNOWN,5.593884468078613,5.244266510009766,5.0
123.30840706825256,0.00042919732561554644,0.27195295522119184,0.266463444709312,0.017218393765569218,UNKNOWN,5.244266510009766,5.593376636505127,5.0
123.30956435203552,0.0003957060713790916,0.2695549622451085,0.256463444709312,0.023072068183727534,UNKNOWN,4.907126426696777,4.556202411651611,5.0
123.31416058540344,0.0003424931073625929,0.26546315675558985,0.256463444709312,0.023072068183727534,UNKNOWN,5.940804481506348,5.241886615753174,5.0
123.33001565933228,0.00030864246878098536,0.26215724394465595,0.256463444709312,0.023072068183727534,UNKNOWN,5.940804481506348,5.241886615753174,5.0
123.33115744590759,0.0002661882215286813,0.25871700900668754,0.256463444709312,0.023072068183727534,UNKNOWN,5.610698699951172,6.311460971832275,5.0
123.37647533416748,0.00021067889586187034,0.25470235928050544,0.256463444709312,0.023072068183727534,UNKNOWN,5.608144283294678,4.906679630279541,5.0
123.39718294143677,0.00017240314198775717,0.2512006405299564,0.24646344470931197,0.02559386703425881,UNKNOWN,4.894649028778076,6.292548656463623,5.0
123.39830183982849,0.00012608498045780497,0.24824329063293935,0.24646344470931197,0.02559386703425881,UNKNOWN,4.907126426696777,4.906679630279541,5.0
123.399245262146,8.862635000008156e-05,0.24585138704011056,0.24646344470931197,0.02559386703425881,UNKNOWN,5.244266510009766,4.195413589477539,5.0
123.4253921508789,3.804303203509631e-05,0.24189539355080236,0.24646344470931197,0.02559386703425881,UNKNOWN,5.319136619567871,5.316198825836182,5.0
123.42873334884644,5.15902003663838e-06,0.23932123917659975,0.23646344470931197,0.024850635147453115,UNKNOWN,4.562952041625977,4.9441752433776855,5.0
123.44448041915894,-4.8998283406214594e-05,0.23542246906921724,0.23646344470931197,0.024850635147453115,UNKNOWN,4.886661529541016,4.189326286315918,5.0
123.47458505630493,-9.592204034282201e-05,0.23204444008253453,0.23646344470931197,0.024850635147453115,UNKNOWN,5.244266510009766,4.894204139709473,5.0
123.48642778396606,-0.00015721827338248422,0.2271910553217452,0.23646344470931197,0.024850635147453115,UNKNOWN,5.244266510009766,4.894204139709473,5.0
123.48758625984192,-0.0001971121820684405,0.22445315968111096,0.22646344470931196,0.026084581893790926,UNKNOWN,4.556617259979248,4.906679630279541,5.0
123.51202917098999,-0.00023204317613016934,0.22187498014523024,0.22646344470931196,0.026084581893790926,UNKNOWN,4.545444011688232,5.244266510009766,5.0
123.51321625709534,-0.00027496747523810574,0.21911260701600538,0.22646344470931196,0.026084581893790926,UNKNOWN,4.206108093261719,4.205725193023682,5.0
123.52848267555237,-0.0003273238324507042,0.21574294332395041,0.21646344470931195,0.033582449558327454,UNKNOWN,4.894649028778076,4.195032119750977,5.0
123.5495913028717,-0.0003588857654519001,0.2132641536806199,0.21646344470931195,0.033582449558327454,UNKNOWN,5.257635116577148,4.556202411651611,5.0
123.55069184303284,-0.00039326526584326305,0.2100858818495298,0.21646344470931195,0.033582449558327454,UNKNOWN,4.1946516036987305,5.243790149688721,5.0
123.5837037563324,-0.0004271764825007296,0.20695090131073476,0.21646344470931195,0.033582449558327454,UNKNOWN,4.5728535652160645,3.869337797164917,5.0
123.59096336364746,-0.00045464162959634293,0.20351445857813713,0.21646344470931195,0.033582449558327454,UNKNOWN,4.894649028778076,4.195413589477539,5.0
123.61956262588501,-0.0004711616289257117,0.20029691714069373,0.20646344470931194,0.025377088609384035,UNKNOWN,4.206108093261719,4.906679630279541,5.0
123.62061810493469,-0.00048383263133010073,0.19835523639800223,0.20646344470931194,0.025377088609384035,UNKNOWN,4.1946516036987305,4.544206142425537,5.0
123.63335061073303,-0.0004937053569108661,0.19621708155955606,0.20646344470931194,0.025377088609384035,UNKNOWN,4.206491470336914,3.5054094791412354,5.0
123.63454747200012,-0.0005022197417512961,0.19385938842380107,0.19646344470931193,0.014113179279452215,UNKNOWN,4.195413589477539,3.8454463481903076,5.0
123.6588716506958,-0.0005188257897450782,0.19087852313397516,0.19646344470931193,0.014113179279452215,UNKNOWN,4.1946516036987305,4.1946516036987305,5.0
123.65985250473022,-0.0005341316680211258,0.18813104454662832,0.19646344470931193,0.014113179279452215,UNKNOWN,3.8555991649627686,3.5050902366638184,5.0
123.6864264011383,-0.0005482475739839509,0.18473487776224715,0.19646344470931193,0.014113179279452215,UNKNOWN,3.846144914627075,3.496177911758423,5.0
123.68769812583923,-0.0005593313181591181,0.18205802407491947,0.18646344470931192,0.013991076766022736,UNKNOWN,4.429520130157471,4.425700664520264,5.0
123.70591306686401,-0.0005713764595015097,0.17915090695076324,0.18646344470931192,0.013991076766022736,UNKNOWN,3.6482431888580322,3.6489346027374268,5.0
123.72912549972534,-0.0005837319742237248,0.17617195765930832,0.18646344470931192,0.013991076766022736,UNKNOWN,4.206108093261719,3.8457956314086914,5.0
123.73025703430176,-0.0005919799000230287,0.1731698380781794,0.1764634447093119,0.014673864255944302,UNKNOWN,3.8457956314086914,3.855248212814331,5.0
123.7573835849762,-0.000594601580317425,0.17120570890455086,0.1764634447093119,0.014673864255944302,UNKNOWN,3.8457956314086914,3.8454463481903076,5.0
123.75844097137451,-0.0005981518861776144,0.16854394243169307,0.1764634447093119,0.014673864255944302,UNKNOWN,3.5047709941864014,3.5044519901275635,5.0
123.77855825424194,-0.0006020605972347179,0.16596955209063247,0.1764634447093119,0.014673864255944302,UNKNOWN,3.4598023891448975,3.4594569206237793,5.0
123.79392552375793,-0.0006064498027542198,0.16307869417628237,0.1664634447093119,0.010134453527227194,UNKNOWN,3.5015835762023926,3.5015835762023926,5.0
123.82130217552185,-0.0005996341745564367,0.1579615668159389,0.1664634447093119,0.010134453527227194,UNKNOWN,3.146845817565918,3.496177911758423,5.0
123.8389220237732,-0.0005996042581029975,0.15547537927049085,0.1564634447093119,0.004855363512974886,UNKNOWN,3.5050902366638184,3.154294013977051,5.0
123.84261798858643,-0.0005972209449083998,0.15380624066681592,0.1564634447093119,0.004855363512974886,UNKNOWN,3.5050902366638184,3.154294013977051,5.0
123.85888242721558,-0.0005878098960173583,0.15160630096618322,0.1564634447093119,0.004855363512974886,UNKNOWN,2.7657980918884277,3.110964298248291,5.0
123.8666639328003,-0.0005835725890519471,0.15013550183191623,0.1564634447093119,0.004855363512974886,UNKNOWN,2.7657980918884277,3.110964298248291,5.0
123.88347339630127,-0.000579883177647473,0.14824062275309421,0.14646344470931189,0.00199249160532311,UNKNOWN,3.4598023891448975,3.0753798484802246,5.0
